fa,bp,pe,ce,ra,tiro,distancia
90,200,200,230,128,t1,123
90,200,200,230,128,t2,126
90,200,200,230,128,t3,126
90,200,200,230,128,t4,"127,5"
90,200,200,230,128,t5,124
90,200,200,230,128,t6,126
90,200,200,230,128,t7,123
90,200,200,230,128,t8,126
90,200,200,230,128,t9,"124,5"
90,200,200,230,128,t10,125
90,200,200,230,128,t11,122
90,200,200,230,128,t12,122
90,200,200,230,128,t13,"122,5"
90,200,200,230,128,t14,122
90,200,200,230,128,t15,119
90,200,200,230,128,t16,127
90,200,200,230,128,t17,124
90,200,200,230,128,t18,126
90,200,200,230,128,t19,122
90,200,200,230,128,t20,121